Bairro,NumerodeHomicidios,Regional,PopulacaoTotal,PopHomens,PopMulheres,MediaMoradores,RazaoDep,Id,GID,Geometria,HomicidioPopulacao
QUINTINO CUNHA,36,REGIONAL 3,47277,22471,24806,3.58,"42,43",Limite Bairro.fid-2be50750_153af4824fe_2d4f,14,POLYGON,76.147
RODOLFO TEOFILO,4,REGIONAL 3,19114,8575,10539,3.36,"38,45",Limite Bairro.fid-2be50750_153af4824fe_2d4a,5,POLYGON,20.927
SABIAGUABA,9,REGIONAL 6,2117,1043,1074,3.59,"43,23",Limite Bairro.fid-2be50750_153af4824fe_2d37,48,POLYGON,425.13
SALINAS,0,REGIONAL 2,4298,2014,2284,3.51,"38,91",Limite Bairro.fid-2be50750_153af4824fe_2d8f,93,POLYGON,0
SAO BENTO,0,REGIONAL 6,11964,5771,6193,3.36,"46,71",Limite Bairro.fid-2be50750_153af4824fe_2d50,11,POLYGON,0
SAO GERARDO,3,REGIONAL 1,14505,6376,8129,3.27,"34,87",Limite Bairro.fid-2be50750_153af4824fe_2da4,117,POLYGON,20.683
SAO JOAO DO TAUAPE,24,REGIONAL 2,27598,12498,15100,3.32,"39,31",Limite Bairro.fid-2be50750_153af4824fe_2d8e,90,POLYGON,86.963
SERRINHA,21,REGIONAL 4,28770,13823,14947,3.47,"40,88",Limite Bairro.fid-2be50750_153af4824fe_2d5e,37,POLYGON,72.993
SIQUEIRA,30,REGIONAL 5,33628,16373,17255,3.63,"51,59",Limite Bairro.fid-2be50750_153af4824fe_2d7b,67,POLYGON,89.211
VARJOTA,2,REGIONAL 2,8421,3645,4776,3.01,"32,07",Limite Bairro.fid-2be50750_153af4824fe_2d3d,115,POLYGON,23.75
VICENTE PINZON,34,REGIONAL 2,45518,21766,23752,3.55,"42,98",Limite Bairro.fid-2be50750_153af4824fe_2d98,103,POLYGON,74.696
MANOEL SATIRO,9,REGIONAL 5,37952,17707,20245,3.41,"38,74",Limite Bairro.fid-2be50750_153af4824fe_2d82,75,POLYGON,23.714
VILA PERY,6,REGIONAL 4,20645,9517,11128,3.38,"38,5",Limite Bairro.fid-2be50750_153af4824fe_2d86,79,POLYGON,29.063
VILA UNIAO,10,REGIONAL 4,15378,7090,8288,3.38,"39,63",Limite Bairro.fid-2be50750_153af4824fe_2d67,47,POLYGON,65.028
VILA VELHA,31,REGIONAL 1,61617,29108,32509,3.55,"43,99",Limite Bairro.fid-2be50750_153af4824fe_2d40,12,POLYGON,50.311
